#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.93 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2010.9449,,24.03000,,
2010.9586,,,23.55000,
2010.9721,,26.04000,,
2010.9857,,,25.93000,
2010.9993,,26.09000,,
2011.0129,,,23.59000,
2011.0264,,22.81000,,
2011.0399,,,22.95000,
2011.0536,,22.64000,,
2011.0671,,,24.69000,
2011.0807,,25.42000,,
2011.0943,,,23.19000,
2011.1078,,23.43000,,
2011.1214,,,22.04000,
2011.1350,,24.15000,,
2011.1486,,,22.75000,
2011.1621,,24.40000,,
2011.1757,,,23.36000,
2011.1892,,23.39000,,
2011.2029,,,23.40000,
2011.2164,,22.46000,,
2011.2300,,,21.29000,
2011.2436,,23.16000,,
2011.2571,,,23.15000,
2011.2705,,23.20000,,
2011.2843,,,23.52000,
2011.2978,,23.02000,,
2011.3115,,,23.08000,
2011.3250,,21.64000,,
2011.3386,,,20.33000,
2011.3521,,21.75000,,
2011.3657,,,23.94000,
2011.3793,,21.23000,,
2011.3929,,,24.87000,
2011.4064,,24.36000,,
2011.4200,,,24.98000,
2011.4336,,25.00000,,
2011.4471,,,25.63000,
2011.4607,,25.80000,,
2011.4743,,,27.98000,
2011.4879,,25.63000,,
2011.5014,,,26.11000,
2011.5151,,24.35000,,
2011.5286,,,25.30000,
2011.5421,,22.26000,,
2011.5558,,,24.37000,
2011.5693,,24.34000,,
2011.5830,,,25.24000,
2011.5965,,26.23000,,
